codepoint,old_char,unicode_name,mapped_char,modern_unicode_name,reason
A960,ꥠ,HANGUL CHOSEONG TIKEUT-MIEUM,ㄷ,HANGUL CHOSEONG TIKEUT,"ㄷ+ㅁ 결합. 비음화 이전의 치조음 계열로, ㄷ음이 유지됨."
A961,ꥡ,HANGUL CHOSEONG TIKEUT-PIEUP,ㄷ,HANGUL CHOSEONG TIKEUT,"ㄷ+ㅂ 결합. 순치음 영향이 미약, ㄷ음 유지."
A962,ꥢ,HANGUL CHOSEONG TIKEUT-SIOS,ㅈ,HANGUL CHOSEONG CIEUC,ㄷ+ㅅ 결합 → [t͡ɕ] 치경 파찰음으로 변화 → ㅈ으로 실현.
A963,ꥣ,HANGUL CHOSEONG TIKEUT-CIEUC,ㅈ,HANGUL CHOSEONG CIEUC,ㄷ+ㅈ 결합 → 치경 파찰음 중첩 → ㅈ으로 단순화.
A964,ꥤ,HANGUL CHOSEONG RIEUL-KIYEOK,ㄱ,HANGUL CHOSEONG KIYEOK,"ㄹ+ㄱ 결합 → 초성에서는 ㄹ 탈락, ㄱ 유지."
A965,ꥥ,HANGUL CHOSEONG RIEUL-SSANGKIYEOK,ㄲ,HANGUL CHOSEONG SSANGKIYEOK,ㄹ+ㄲ 결합 → 된소리화된 ㄲ음 유지.
A966,ꥦ,HANGUL CHOSEONG RIEUL-TIKEUT,ㄷ,HANGUL CHOSEONG TIKEUT,ㄹ+ㄷ 결합 → ㄹ 탈락 후 ㄷ 유지.
A967,ꥧ,HANGUL CHOSEONG RIEUL-SSANGTIKEUT,ㄸ,HANGUL CHOSEONG SSANGTIKEUT,ㄹ+ㄸ 결합 → 된소리 ㄸ으로 실현.
A968,ꥨ,HANGUL CHOSEONG RIEUL-MIEUM,ㅁ,HANGUL CHOSEONG MIEUM,"ㄹ+ㅁ 결합 → 순음계(입술소리)로 단순화, ㅁ 유지."
A969,ꥩ,HANGUL CHOSEONG RIEUL-PIEUP,ㅂ,HANGUL CHOSEONG PIEUP,"ㄹ+ㅂ 결합 → 순음계로 단순화, ㅂ 유지."
A96A,ꥪ,HANGUL CHOSEONG RIEUL-SSANGPIEUP,ㅃ,HANGUL CHOSEONG SSANGPIEUP,ㄹ+ㅃ 결합 → 된소리 ㅃ으로 단순화.
A96B,ꥫ,HANGUL CHOSEONG RIEUL-KAPYEOUNPIEUP,ㅃ,HANGUL CHOSEONG SSANGPIEUP,가표운비읍. ㅂ 강화형 → ㅃ 대응.
A96C,ꥬ,HANGUL CHOSEONG RIEUL-SIOS,ㅅ,HANGUL CHOSEONG SIOS,ㄹ+ㅅ 결합 → 마찰음 ㅅ으로 단순화.
A96D,ꥭ,HANGUL CHOSEONG RIEUL-CIEUC,ㅈ,HANGUL CHOSEONG CIEUC,ㄹ+ㅈ 결합 → 파찰음 ㅈ으로 단순화.
A96E,ꥮ,HANGUL CHOSEONG RIEUL-KHIEUKH,ㅋ,HANGUL CHOSEONG KHIEUKH,"ㄹ+ㅋ 결합 → 조음 위치 유지, ㅋ 대응."
A96F,ꥯ,HANGUL CHOSEONG MIEUM-KIYEOK,ㅁ,HANGUL CHOSEONG MIEUM,"ㅁ+ㄱ 결합 → 초성군 단순화, 비음 유지 → ㅁ."
A970,ꥰ,HANGUL CHOSEONG MIEUM-TIKEUT,ㅁ,HANGUL CHOSEONG MIEUM,ㅁ+ㄷ 결합 → 비음 유지 → ㅁ.
A971,ꥱ,HANGUL CHOSEONG MIEUM-SIOS,ㅁ,HANGUL CHOSEONG MIEUM,ㅁ+ㅅ 결합 → 비음 유지 → ㅁ.
A972,ꥲ,HANGUL CHOSEONG PIEUP-SIOS-THIEUTH,ㅌ,HANGUL CHOSEONG THIEUTH,ㅂ+ㅅ+ㅌ 결합 → 거센소리화 → ㅌ.
A973,ꥳ,HANGUL CHOSEONG PIEUP-KHIEUKH,ㅋ,HANGUL CHOSEONG KHIEUKH,"ㅂ+ㅋ 결합 → 후설음 영향, ㅋ으로 단순화."
A974,ꥴ,HANGUL CHOSEONG PIEUP-HIEUH,ㅍ,HANGUL CHOSEONG PHIEUPH,ㅂ+ㅎ 결합 → 거센소리화 → ㅍ.
A975,ꥵ,HANGUL CHOSEONG SSANGSIOS-PIEUP,ㅆ,HANGUL CHOSEONG SSANGSIOS,ㅆ+ㅂ 결합 → 된소리화 → ㅆ 유지.
A976,ꥶ,HANGUL CHOSEONG IEUNG-RIEUL,ㄹ,HANGUL CHOSEONG RIEUL,"ㅇ+ㄹ 결합 → 영음 탈락, ㄹ 유지."
A977,ꥷ,HANGUL CHOSEONG IEUNG-HIEUH,ㅎ,HANGUL CHOSEONG HIEUH,"ㅇ+ㅎ 결합 → 영음 탈락, ㅎ 유지."
A978,ꥸ,HANGUL CHOSEONG SSANGCIEUC-HIEUH,ㅊ,HANGUL CHOSEONG CHIEUCH,ㅉ+ㅎ 결합 → 거센소리화 → ㅊ.
A979,ꥹ,HANGUL CHOSEONG SSANGTHIEUTH,ㅌ,HANGUL CHOSEONG THIEUTH,ㅌ의 겹음 → 된소리 ㅌ으로 유지.
A97A,ꥺ,HANGUL CHOSEONG PHIEUPH-HIEUH,ㅍ,HANGUL CHOSEONG PHIEUPH,ㅍ+ㅎ 결합 → 거센소리화 → ㅍ.
A97B,ꥻ,HANGUL CHOSEONG HIEUH-SIOS,ㅅ,HANGUL CHOSEONG SIOS,ㅎ+ㅅ 결합 → 마찰음 중 하나인 ㅅ으로 단순화.
A97C,ꥼ,HANGUL CHOSEONG SSANGYEORINHIEUH,ㅎ,HANGUL CHOSEONG HIEUH,겹여린히읗. 현대에 대응 없음 → ㅎ으로 단순화.
