old_codepoint,old_char,old_name,mapped_char,modern_codepoint,rationale_ko
U+1113,ᄓ,HANGUL CHOSEONG NIEUN-KIYEOK,ᄂ,U+1102,(ㄴ+ㄱ) 어두 자음군 소실 → 선행 비음 ㄴ으로 환원.
U+1114,ᄔ,HANGUL CHOSEONG SSANGNIEUN,ᄂ,U+1102,된소리 ㄴ은 현대 표기 부재 → 기본 ㄴ으로 환원.
U+1115,ᄕ,HANGUL CHOSEONG NIEUN-TIKEUT,ᄂ,U+1102,(ㄴ+ㄷ) 어두 자음군 불허 → ㄴ으로 단순화.
U+1116,ᄖ,HANGUL CHOSEONG NIEUN-PIEUP,ᄂ,U+1102,(ㄴ+ㅂ) 어두 자음군 불허 → ㄴ으로 단순화.
U+1117,ᄗ,HANGUL CHOSEONG TIKEUT-KIYEOK,ᄃ,U+1103,(ㄷ+ㄱ) 어두 자음군 불허 → 첫 자모 계열(치조 파열) ㄷ으로 환원.
U+1118,ᄘ,HANGUL CHOSEONG RIEUL-NIEUN,ᄅ,U+1105,(ㄹ+ㄴ) 복합은 현대 초성에서 ㄹ로 환원.
U+1119,ᄙ,HANGUL CHOSEONG SSANGRIEUL,ᄅ,U+1105,된소리 ㄹ 부재 → ㄹ로 환원.
U+111A,ᄚ,HANGUL CHOSEONG RIEUL-HIEUH,ᄅ,U+1105,(ㄹ+ㅎ)에서 ㅎ 흔적 소실 → ㄹ로 대응.
U+111B,ᄛ,HANGUL CHOSEONG KAPYEOUNRIEUL,ᄅ,U+1105,‘가벼운 ㄹ’ 표기는 ㄹ로 환원.
U+111C,ᄜ,HANGUL CHOSEONG MIEUM-PIEUP,ᄆ,U+1106,(ㅁ+ㅂ) 어두 자음군 불허 → 비음 ㅁ으로.
U+111D,ᄝ,HANGUL CHOSEONG KAPYEOUNMIEUM,ᄆ,U+1106,‘가벼운 ㅁ’ → ㅁ.
U+111E,ᄞ,HANGUL CHOSEONG PIEUP-KIYEOK,ᄇ,U+1107,(ㅂ+ㄱ) 어두 자음군 불허 → 첫 자모 ㅂ으로.
U+111F,ᄟ,HANGUL CHOSEONG PIEUP-NIEUN,ᄇ,U+1107,(ㅂ+ㄴ) 어두 자음군 불허 → ㅂ.
U+1120,ᄠ,HANGUL CHOSEONG PIEUP-TIKEUT,ᄇ,U+1107,(ㅂ+ㄷ) 어두 자음군 불허 → ㅂ.
U+1121,ᄡ,HANGUL CHOSEONG PIEUP-SIOS,ᄊ,U+110A,역사적으로 ㅄ-가 ㅆ으로 강화된 사례를 반영.
U+1122,ᄢ,HANGUL CHOSEONG PIEUP-SIOS-KIYEOK,ᄇ,U+1107,복합(ㅂ+ㅅ+ㄱ) 어두 자음군 불허 → 보수적 환원으로 ㅂ.
U+1123,ᄣ,HANGUL CHOSEONG PIEUP-SIOS-TIKEUT,ᄇ,U+1107,복합(ㅂ+ㅅ+ㄷ) → 첫 자모 ㅂ으로 환원.
U+1124,ᄤ,HANGUL CHOSEONG PIEUP-SIOS-PIEUP,ᄇ,U+1107,복합(ㅂ+ㅅ+ㅂ) → ㅂ으로 환원.
U+1125,ᄥ,HANGUL CHOSEONG PIEUP-SSANGSIOS,ᄇ,U+1107,(ㅂ+ㅆ) → ㅂ으로 환원.
U+1126,ᄦ,HANGUL CHOSEONG PIEUP-SIOS-CIEUC,ᄇ,U+1107,(ㅂ+ㅅ+ㅈ) → ㅂ으로 환원.
